0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
1 0 0 1 0 0 0 0 1 0 0 1 0 0.0 0.5 0 dove
1 0 0 1 0 0 0 0 1 0 0 0 0 0.0 0.5 0 hen
1 0 0 1 0 0 0 0 1 0 0 1 1 0.0 0.5 0 duck
1 0 0 1 0 0 0 0 1 0 0 1 1 0.0 0.5 0 goose
1 0 0 1 0 0 0 0 1 1 0 1 0 1.0 0.0 0 owl
1 0 0 1 0 0 0 0 1 1 0 1 0 0.0 0.0 0 hawk
0 1 0 1 0 0 0 0 1 1 0 0 0 0.0 0.0 0 eagle
0 1 0 0 1 1 0 0 0 1 0 0 0 0.5 0.0 0 fox
0 1 0 0 1 1 0 0 0 0 1 0 0 0.0 0.0 0 dog
0 1 0 0 1 1 0 1 0 1 1 0 0 1.0 0.0 0 wolf
1 0 0 0 1 1 0 0 0 1 0 0 0 0.5 0.0 0 cat
0 0 1 0 1 1 0 0 0 1 1 0 0 0.5 0.0 1 tiger
0 0 1 0 1 1 0 1 0 1 1 0 0 0.0 0.0 0 lion
0 0 1 0 1 1 1 1 0 0 1 0 0 0.0 1.0 0 horse
0 0 1 0 1 1 1 1 0 0 1 0 0 0.0 1.0 1 zebra
0 0 1 0 1 1 1 0 0 0 0 0 0 0.0 1.0 0 cow
