Coloumn 0,Coloumn 1,Coloumn 2,Coloumn 3,Coloumn 4,Coloumn 5,Coloumn 6,Coloumn 7,Coloumn 8,Coloumn 9,Coloumn 10,Coloumn 11,Coloumn 12,Coloumn 13,Coloumn 14,Coloumn 15,Coloumn 16
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0.5,0,dove
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5,0,hen
1,0,0,1,0,0,0,0,1,0,0,1,1,0,0.5,0,duck
1,0,0,1,0,0,0,0,1,0,0,1,1,0,0.5,0,goose
1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,owl
1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,hawk
0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,eagle
0,1,0,0,1,1,0,0,0,1,0,0,0,0.5,0,0,fox
0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,dog
0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,wolf
1,0,0,0,1,1,0,0,0,1,0,0,0,0.5,0,0,cat
0,0,1,0,1,1,0,0,0,1,1,0,0,0.5,0,1,tiger
0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,lion
0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,horse
0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,zebra
0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,cow
